aage, оге
andrew, ендрю
andrew, эндрю
andrew, էնդրյու
andrey, անդրեյ
andreyev, андреев
angel, ангел
angel, анхель
angela, анжела
angeles, анхелес
angelos, αγγελος
anhalt, ανχαλτ
anhalt, ангальт
anhalt, анхалт
anja, аня
anjou, ανζου
anna, anne
anna, hanna
anna, αννα
anna, анна
anna, ганна
antal, anton
anthony, antony
anwar, анвар
arago, aragon
arago, aragona
aragon, aragona
arakawa, аракава
armand, арман
arnaud, арно
art, arthur
artashes, արտաշես
artem, artjom
artem, артем
arthur, artur
arthur, αρθουρ
arthur, артур
arthur, артър
arthur, արթուր
artjom, artyom
artjom, артем
artur, артур
artyom, артем
ashot, ашот
ashot, աշոտ
ashton, эштон
atenas, athens
atene, atenes
atene, athen
atene, athens
atenes, athen
atenes, athens
athen, athens
august, auguste
august, augusto
august, augustus
august, αυγουστος
august, август
august, аугуст
augusta, auguste
augusta, августа
auguste, augusto
auguste, augustus
auguste, αυγουστος
auguste, август
auguste, августа
augusto, augustus
augusto, αυγουστος
augusto, август
augustus, αυγουστος
augustus, август
aule, aulo
aule, aulus
aulo, aulus
aulo, авл
aulo, авъл
aulus, авл
aulus, авъл
azuma, адзума
azusa, адзуса
bach, μπαχ
bach, бах
bade, baden
bade, του
bade, баден
baden, του
baden, баден
barlow, барлоу
ben, μπεν
ben, бен
berger, бергер
bernard, bernardo
bernard, bernat
bernard, bernhard
bernard, бернар
bernardo, bernat
bernhard, бернгард
bernhard, бернхард
berta, bertha
bertha, берта
bertrand, бертран
beth, бет
bey, бек
bjork, бьерк
bjorklund, бьерклунд
bjorn, bjørn
bjorn, бьерн
bjorn, бьорн
bjørn, бьорн
blanchard, бланчард
blanche, бланш
bloch, блох
boguslaw, bogusław
bogusław, богуслав
bohdan, богдан
bojan, боян
bojan, бојан
boleslav, bolesław
boleslaw, bolesław
boleslaw, болеслав
bolesław, болеслав
bonnet, бонне
booth, бут
borbo, borbon
borbo, borbone
borbo, bourbon
borbo, бурбон
borbon, borbone
borbon, bourbon
borbon, бурбон
borbone, bourbon
borbone, βουρβονων
borbone, бурбон
borgogna, borgona
borgogna, borgonha
borgogna, borgonya
borgogna, bourgogne
borgogna, burgundy
borgona, borgonha
borgona, borgonya
borgona, bourgogne
borgona, burgundy
borgonha, borgonya
borgonha, bourgogne
borgonha, burgundy
borgonya, bourgogne
borgonya, burgundy
bourbon, βουρβονων
bourbon, бурбон
bourgogne, burgundy
brad, bradley
braganca, braganza
braganca, браганса
brandebourg, brandeburgo
brandebourg, brandenburg
brandebourg, βρανδεμβουργου
brandebourg, бранденбург
brandeburgo, brandemburgo
brandeburgo, brandenburg
brandeburgo, βρανδεμβουργου
brandeburgo, бранденбург
brandemburgo, brandenburg
brandemburgo, βρανδεμβουργου
brandemburgo, бранденбург
brandenburg, βρανδεμβουργου
brandenburg, бранденбург
brown, μπραουν
brown, браун
bruce, μπρους
bruce, брюс
bruno, μπρουνο
buchanan, бьюкэнэн
bulow, бюлов
bush, буш
caballero, кабальеро
carl, carlo
carl, carlos
carl, charles
carl, karel
carl, karl
carl, καρολος
carl, карл
carles, carlo
carles, carlos
carles, carol
carles, charles
carles, kaarle
carles, karel
carles, karl
carles, karol
carles, karoly
carles, καρολος
carles, карл
carles, карло
carlo, carlos
carlo, carol
carlo, charles
carlo, kaarle
carlo, karel
carlo, karl
carlo, karol
carlo, karoly
carlo, καρολος
carlo, карл
carlo, карло
carlos, carol
carlos, charles
carlos, kaarle
carlos, karel
carlos, karl
carlos, karol
carlos, karoly
carlos, καρολος
carlos, карл
carlos, карло
carlota, carlotta
carlota, charlotte
carlota, шарлота
carlota, шарлотта
carlotta, charlotte
carlotta, шарлотта
carol, charles
carol, kaarle
carol, karel
carol, karl
carol, karol
carol, karoly
carol, καρολος
carol, карл
chad, чад
chambers, чемберс
chambers, чэмберс
chan, chen
chan, khan
chan, хан
chan, чан
chandler, чендлер
chandra, чандра
chang, zhang
chapman, чэпман
charles, kaarle
charles, karel
charles, karl
charles, karol
charles, karoly
charles, καρολος
charles, карл
charles, карло
charles, чарлз
charles, чарлс
charles, чарльз
charles, չարլզ
charles, შარლ
charlotte, καρλοττα
charlotte, шарлота
charlotte, шарлотта
chen, чен
chen, чэнь
chernov, чернов
chester, честер
chloe, хлоя
chu, zhou
chu, zhu
chuck, чак
claude, κλοντ
claude, клод
clemens, clemente
clement, клеман
cneo, gnaeus
cneo, gneo
cneo, gneu
cneu, gnaeus
cneu, gneo
cneu, gneu
cohen, коэн
comne, komnen
comne, komnenos
comne, κομνηνος
comneno, komnenos
comneno, κομνηνος
comte, conde
comte, conte
comte, count
conrad, corrado
conrad, konrad
conrad, конрад
corrado, konrad
corrado, конрад
cras, craso
craso, crasso
craso, crassus
craso, крас
craso, красс
crasso, crassus
crasso, красс
crassus, крас
crassus, красс
cruz, круз
cua, lea
czeslaw, czesław
danemark, danmark
danemark, denemarken
danemark, denmark
danmark, denemarken
danmark, denmark
danska, датская
darja, darya
darja, дарья
darya, дарья
dawydow, давыдов
dejan, деян
dejan, дејан
della, ντελλα
della, делла
denemarken, denmark
dorotea, dorothea
dorotea, dorothee
dorotea, доротея
dorothea, dorothee
dorothea, δωροθεα
dorothea, доротея
dorothee, δωροθεα
dorothee, доротея
drew, дрю
duc, duke
duca, duke
duce, duke
duce, duque
duce, του
ducesa, duchess
duchess, duquesa
duke, duque
duke, του
dumas, дюма
dumont, дюмон
duong, yang
duque, του
earl, jarl
edmond, эдмон
edouard, eduard
edouard, edward
edouard, едуар
edouard, эдуар
edouard, эдуард
eduard, edvard
eduard, edward
eduard, эдуард
edvard, edward
edward, едвард
edward, едуард
edward, эдвард
edward, эдуард
edward, էդվարդ
edwards, эдвардс
elena, helena
elena, helene
elena, jelena
elena, yelena
elena, елена
elena, олена
elena, ելենա
eleonora, eleonore
eleonora, leonor
eleonora, элеонора
eleonore, leonor
eleonore, элеонора
emperador, emperor
engel, энгель
engelhardt, энгельгардт
enzo, энцо
erbach, ербах
ernest, ernesto
ernest, ernst
ernest, ερνεστος
ernest, ернст
ernest, эрнст
ernesto, ernst
ernesto, ερνεστος
ernesto, ернст
ernesto, эрнст
ernst, ερνεστος
ernst, ернст
ernst, эрнст
esparta, sparta
esther, эстер
eugen, eugene
eugene, gene
eugene, эжен
evgenevna, евгеньевна
evgeny, yevgeny
evgeny, євген
ewald, эвальд
fedor, fjodor
fedor, fyodor
fedor, федор
ferdynand, fernando
ferenc, franz
fernand, фернан
fjodor, fyodor
fjodor, федор
fjodor, ֆեոդոր
fjodorov, федоров
fjodorovna, федоровна
flac, flaccus
flac, flaco
flacco, flaccus
flacco, flaco
flaccus, flaco
flaccus, флак
flaccus, флакк
flaco, флак
flaco, флакк
franc, franz
franca, france
francesco, φραντσεσκο
francesco, франческо
frank, франк
frans, franz
frans, франц
franz, φραντς
franz, франц
franz, ֆրանց
french, френч
furukawa, фурукава
fyodor, федор
fyodorov, федоров
gallagher, галлахер
gallo, gallus
gallo, гал
gallus, galo
gallus, гал
gallus, галл
galo, гал
gareth, гарет
gaspard, гаспар
gen, гэн
geoff, geoffrey
geoffrey, geoffroy
geoffrey, жоффруа
geoffroy, жоффруа
georg, george
georg, georges
georg, gyorgy
georg, jerzy
georg, jorge
georg, георг
georg, գեորգ
george, georges
george, gyorgy
george, jerzy
george, jorge
george, георг
georges, jerzy
georges, jorge
georges, георг
gerard, gerardus
gerard, gerhard
gerard, герард
gerardo, херардо
gerd, герд
gerda, герда
gerhard, герхард
german, герман
german, херман
gert, герт
gertrud, гертруда
gertrude, гертруда
gevorg, գեւորգ
geza, геза
gnaeus, gneo
gnaeus, gneu
gneo, gneu
goncharov, гончаров
graham, грэм
greg, gregory
greg, грег
gregory, грег
gudmundsson, guðmundsson
guenther, gunther
guerrero, герреро
gunter, gunther
gunther, гюнтер
gustav, густав
gustaw, густав
gyula, дьюла
habsburg, habsburgo
habsburg, habsbursko
habsburgo, habsburgu
hagen, хаген
han, khan
han, хан
hanna, анна
hanna, ганна
hans, johannes
hans, χανς
hans, ганс
hans, ханс
hans, հանս
harald, гаральд
harold, гарольд
harry, henry
harutyunyan, арутюнян
harutyunyan, հարությունյան
hasegawa, хасэгава
hayakawa, хаякава
heather, хезер
hector, ектор
hector, эктор
helena, helene
helena, елена
helene, елена
helene, элен
helge, хельге
helmut, гельмут
henry, henryk
herbert, герберт
herbert, херберт
herceg, hertug
herman, hermann
herman, χερμαν
herman, герман
herman, херман
hermann, χερμαν
hermann, герман
hermann, херман
hernan, эрнан
hernandez, ернандес
hernandez, эрнандес
herrera, эррера
herrero, эрреро
herve, эрве
hess, гесс
hesse, hessen
hesse, гессен
hesse, хесен
hessen, гессен
hessen, хесен
hjalmar, ялмар
hojo, houjou
holger, хольгер
honma, хомма
honore, оноре
hosokawa, хосокава
howard, говард
howard, ховард
huang, хуан
hubert, губерт
hug, hugh
hug, hugo
hug, hugues
hug, ugo
hug, гуго
hugh, hugo
hugh, hugues
hugh, ugo
hugh, гуго
hugo, hugues
hugo, ugo
hugo, гуго
hugo, уго
hugo, хуго
hugues, ugo
hugues, гуго
humberto, умберто
jaap, jacob
jacek, яцек
jack, john
jack, джек
jack, ջեք
jackson, ջեքսոն
jacob, jacobus
jacob, jacques
jacob, jake
jacob, jakob
jacob, jakub
jacob, якоб
jacob, яков
jacobsen, якобсен
jacobus, jacques
jacobus, jakob
jacopo, якопо
jacques, jakob
jacques, jakub
jacques, james
jacques, жак
jaeger, jager
jakob, jakub
jakob, якоб
jakob, яков
jakov, jakow
jakov, yakov
jakov, яков
jakovlev, яковлев
jakovlevna, яковлевна
jakow, yakov
jakow, яков
jakowlew, яковлев
jakub, якуб
james, џејмс
james, ջեյմս
jan, janas
jan, janos
jan, jean
jan, joan
jan, joannes
jan, joao
jan, johan
jan, johann
jan, johannes
jan, john
jan, jonas
jan, juan
jan, жан
jan, фон
jan, јан
jan, јован
jan, յան
jana, yana
jana, яна
jane, ջեյն
janet, jonet
janko, янко
janne, янне
janos, jean
janos, joan
janos, joao
janos, johan
janos, johann
janos, johannes
janos, john
janos, juan
janos, янош
janos, јован
jansen, янсен
janssen, янсен
janusz, януш
jaroslav, yaroslav
jaroslav, ярослав
jaroslaw, jarosław
jarosław, ярослав
jason, ջեյսոն
jean, jehan
jean, joan
jean, joannes
jean, joao
jean, johan
jean, johann
jean, johannes
jean, john
jean, jonas
jean, juan
jean, ζαν
jean, жан
jean, фон
jean, јован
jean, ժան
jean, ჟან
jeanne, joan
jeanne, joana
jeanne, joanna
jeanne, johana
jeanne, johanna
jeanne, juana
jeanne, жанна
jeff, jeffrey
jegor, егор
jehuda, yehuda
jelena, olena
jelena, yelena
jelena, елена
jelena, олена
jelena, јелена
jelena, ելենա
jeong, jung
jerome, жером
jerzy, jorge
jerzy, георг
jesper, еспер
jesus, хесус
jeune, joven
jevgenjevna, евгеньевна
jewhen, yevhen
jewhen, євген
joan, joao
joan, johan
joan, johann
joan, johanna
joan, johannes
joan, john
joan, juan
joan, жан
joan, жоан
joan, хоан
joan, хуан
joan, јован
joana, joanna
joana, johanna
joana, juana
joana, жанна
joanna, johanna
joanna, juana
joannes, johannes
joao, johan
joao, johann
joao, johannes
joao, john
joao, juan
joao, жан
joao, јован
joel, жоэль
joerg, jorg
johan, johann
johan, johannes
johan, john
johan, juan
johan, юхан
johana, johanna
johann, johannes
johann, john
johann, juan
johann, жан
johann, фон
johann, јохан
johann, յոհան
johanna, juana
johanna, жанна
johannes, john
johannes, juan
johannes, јован
johansson, юханссон
john, johnny
john, jon
john, juan
john, τζον
john, джон
john, жан
john, фон
john, јован
john, џон
john, ջոն
john, ჯონ
johnson, джонсон
johnson, џонсон
johnson, ջոնսոն
johnsson, юнссон
jonathan, жонатан
jonathan, ջոնաթան
jones, ջոնս
jordan, жордан
jorge, георг
jorn, jørn
jos, joseph
jose, josef
jose, josep
jose, joseph
jose, jozef
jose, xose
jose, χοσε
jose, жозе
jose, хозе
jose, хосе
jose, խոսե
jose, ხოსე
josef, joseph
josef, jozef
josef, jozsef
josef, yosef
josef, јозеф
josef, յոզեֆ
josep, joseph
josep, хосеп
joseph, josephus
joseph, jozef
joseph, jozsef
joseph, ζοζεφ
joseph, жозеф
joseph, јозеф
joseph, ժոզեֆ
joseph, ջոզեֆ
josh, joshua
jovan, јован
jozef, jozsef
jozef, юзеф
juan, χουαν
juan, жан
juan, хуан
juan, јован
juan, խուան
juha, юха
jukka, юкка
jung, юнг
jungere, yngre
jungere, younger
juozas, юозас
jurevna, юрьевна
jurgen, юрген
jurjevna, юрьевна
jurjewna, юрьевна
kaarle, karel
kaarle, karl
kaarle, karol
kaarle, karoly
kaarle, καρολος
kaarle, карл
kagawa, кагава
kageyama, кагэяма
kalle, калле
kanazawa, канадзава
karel, karl
karel, karol
karel, karoly
karel, καρολος
karel, карл
karel, карло
karel, шарль
karl, karol
karl, karoly
karl, καρολος
karl, карл
karl, карло
karol, karoly
karol, καρολος
karol, карл
karoly, καρολος
karoly, карл
katja, катя
kawabata, кавабата
kawada, кавада
kawahara, кавахара
kawamoto, кавамото
kawamura, кавамура
kawano, кавано
kazakov, казаков
kazama, кадзама
kazue, кадзуэ
kazuko, кадзуко
kazuma, кадзума
kazumasa, кадзумаса
kazuo, кадзуо
kazutaka, кадзутака
kazuto, кадзуто
kazuya, кадзуя
ken, kenneth
ken, кен
ken, кеннет
kenneth, kenny
kenneth, кен
kenneth, кеннет
kenzo, kenzou
kenzo, кэндзо
kenzou, кэндзо
khachatryan, խաչատրյան
khan, хан
kjell, хьель
koch, кох
koenraad, konrad
koeznetsov, kuznetsov
komnen, komnenos
komnen, κομνηνος
komnenos, κομνηνος
konrad, конрад
kouzou, kozo
kouzou, кодзо
kovacs, ковач
kozlov, козлов
kozo, кодзо
kozue, кодзуэ
kravchenko, кравченко
kruger, крюгер
kurokawa, курокава
kurosawa, куросава
kusnezow, kuznetsov
kuwahara, кувахара
kuzma, кузьма
lange, ланге
laszlo, ласло
laurent, лоран
lea, του
lebedev, lebedew
lebedev, лебедев
lebedew, лебедев
lechner, лехнер
lefebvre, лефевр
lentulo, lentulus
lentulo, лентул
lentulus, лентул
leo, leon
leo, лев
leon, лев
leonor, элеонора
leopold, leopoldo
leopold, λεοπολδος
leopold, леопольд
leopoldo, леопольд
leszek, лешек
lev, lew
lev, лев
lev, լեւ
levan, lewan
levan, леван
levan, ლევან
levon, левон
levon, լեւոն
lew, лев
ljubov, ljubow
ljubov, lyubov
ljubov, любовь
ljubow, lyubov
ljubow, любов
ljubow, любовь
lorenz, лоренц
lorenzo, лоренцо
lothar, лотар
lukasz, łukasz
lukasz, лукаш
lussemburgo, luxembourg
lussemburgo, luxemburg
luther, лютер
lutz, лутц
luxembourg, luxemburg
luxemburg, luxemburgo
lyubov, любов
lyubov, любовь
maddalena, magdalena
maekawa, маэкава
magno, magnus
magnus, магнус
maja, маја
makarov, makarow
makarow, макаров
malgorzata, małgorzata
marc, marco
marc, marcus
marc, марк
marcellus, marcelo
marchese, marquess
marco, marcus
marco, marek
marco, марк
marcus, marek
marcus, марк
marek, марк
margaret, margareta
margaret, margarete
margaret, margaretha
margaret, marketa
margaret, μαργκαρετ
margaret, маргарет
margaret, маргарета
margareta, margaretha
margareta, marketa
margarete, margaretha
margarete, margarethe
margaretha, marketa
margaretha, маргарета
markow, марков
marsh, марш
marshall, маршалл
marta, martha
martha, марта
masakazu, масакадзу
matt, matthew
matt, мэтт
matthew, мэтт
matthew, мэттью
matthew, мэтью
matthews, мэтьюз
max, maxwell
maxwell, максвелл
mcgrath, макграт
mecklembourg, mecklemburgo
mecklembourg, mecklenburg
mecklembourg, meclemburgo
mecklembourg, μεκλεμβουργου
mecklembourg, мекленбург
mecklemburgo, mecklenburg
mecklemburgo, meclemburgo
mecklemburgo, μεκλεμβουργου
mecklenburg, meclemburgo
mecklenburg, μεκλεμβουργου
mecklenburg, мекленбург
meclemburgo, μεκλεμβουργου
meclemburgo, мекленбург
mehmed, μεχμετ
mehmed, мехмед
monferrato, montferrat
morosow, morozov
morosow, морозов
morozov, морозов
mose, moshe
moshe, моше
mykola, mykoła
nadejda, nadeschda
nadejda, nadezhda
nadejda, надежда
nadeschda, nadezda
nadeschda, nadezhda
nadeschda, nadezjda
nadeschda, надежда
nadeshda, nadezhda
nadeshda, надежда
nadezda, nadezhda
nadezda, надежда
nadezhda, nadezjda
nadezhda, надежда
nadezhda, նադեժդա
nadezjda, надежда
nagasawa, нагасава
nagy, надь
nakagawa, накагава
nakazato, накадзато
nakazawa, накадзава
nash, нэш
natasha, наташа
nathan, натан
nemanja, немања
noruega, norway
nowak, новак
ogasawara, огасавара
ogawa, огава
okawa, оокава
oleg, oleh
oleg, олег
oleh, ołeh
oleh, олег
oleksandr, ołeksandr
oleksandr, александр
oleksandr, олександр
olena, елена
olena, олена
olga, olha
olga, ольга
olha, ольга
orleans, ορλεανης
orleans, орлеанская
orlov, орлов
osawa, оосава
oswald, освальд
othon, otto
othon, ото
othon, отто
oto, oton
oto, ото
otto, otton
otto, ottone
otto, ото
otto, отто
otto, оттон
ottone, ото
ozawa, одзава
ołeh, олег
ołeksandr, александр
ołeksandr, олександр
pacha, pasa
pacha, pascha
pacha, pasha
pacha, паша
pacha, ფაშა
paolo, paul
papa, papez
papa, paus
papa, pave
papa, pope
papa, παπας
papa, папа
papez, paus
papez, pave
papez, pope
papez, παπας
papez, папа
park, пак
pasa, pascha
pasa, pasha
pasa, pasza
pasa, πασας
pasa, паша
pasa, ფაშა
pascha, pasha
pascha, паша
pasha, pasza
pasha, πασας
pasha, паша
pasha, ფაშა
pasza, паша
paul, paulus
paul, pavel
paul, paweł
paul, павел
paul, павло
paus, pave
paus, pope
paus, παπας
paus, папа
pave, pope
pave, παπας
pave, папа
pavel, pawel
pavel, paweł
pavel, παβελ
pavel, павел
pavel, павло
pavel, պավել
pavlos, παυλος
pawel, paweł
pawel, павел
pawel, павло
paweł, павел
paweł, павло
pedro, pere
pedro, peter
pedro, petrus
pedro, πετρος
pedro, педро
pedro, петр
pere, peter
pere, πετρος
pete, peter
peter, petr
peter, petrus
peter, pjotr
peter, πετρος
peter, петар
peter, петр
peter, петро
petr, pjotr
petr, pyotr
petr, петр
petr, петро
petras, петр
petrov, petrow
petrov, петров
petrova, petrowa
petrova, петрова
petrovna, petrowna
petrovna, петровна
petrow, петров
petrowa, петрова
petrowna, петровна
pfalz, пфалц
pfalz, пфальц
pjotr, pyotr
pjotr, петр
pjotr, петро
pjotr, պյոտր
pope, παπας
pope, папа
popov, popow
popov, попов
popova, popowa
popova, попова
popow, попов
popowa, попова
preussen, preußen
preussen, prusse
preußen, prusse
proculo, proculus
przemyslaw, przemysław
pyotr, петр
pyotr, петро
pyotr, պյոտր
radoslaw, radosław
rafa, rafael
rafal, rafał
rafał, рафал
ragnar, рагнар
ramon, raymond
renaud, рено
renzo, ренцо
robert, roberto
robert, ροβερτος
robert, ρομπερτ
robert, робер
robert, роберт
robert, робърт
robert, ռոբերտ
robert, რობერტ
rohan, роган
rojas, рохас
romanov, romanow
romanov, романов
romanova, romanowa
romanow, романов
rosenthal, розенталь
roth, рот
rudolf, ροδολφος
rudolf, ρουντολφ
rudolf, рудолф
rudolf, рудольф
rufo, rufus
rufo, руф
rufus, руф
ruslan, rusłan
ruslan, руслан
rusłan, руслан
ruth, рут
ryozo, редзо
ryszard, рышард
ryuzo, рюдзо
saboya, savoy
saboya, savoye
sachsen, saksen
sachsen, saxa
sachsen, saxe
sachsen, saxony
sachsen, szasz
sachsen, саксен
sah, shah
saksen, saxa
saksen, saxe
saksen, saxony
saksen, szasz
saksen, саксен
sam, samuel
sam, сэм
samantha, саманта
samuel, сэм
sanchez, санчез
sanchez, санчес
sancho, санчо
sant, szent
santa, szent
sasha, саша
savchenko, савченко
savoy, savoye
savoy, savoyen
savoye, savoyen
sawa, сава
sawada, савада
saxa, saxe
saxa, саксен
saxe, saxony
saxe, szasz
saxe, саксен
sayn, фон
schafer, шефер
schaumbourg, шаумбург
schaumburg, шаумбург
schenk, шенк
schroder, шредер
schubert, шуберт
schulenburg, шуленбург
schulze, шульце
semen, semjon
semen, semyon
semen, семен
semjon, semyon
semjon, семен
semjonov, семенов
semjonovna, семеновна
semyon, семен
serge, серж
sergeev, сергеев
sergeevna, sergejevna
sergeevna, сергеевна
sergej, sergey
sergej, szergej
sergej, сергеј
sergej, սերգեյ
sergejevna, sergejewna
sergejevna, sergeyevna
sergejevna, сергеевна
sergejewna, sergeyevna
sergejewna, сергеевна
sergey, szergej
sergey, сергеј
sergey, սերգեյ
sergeyevna, сергеевна
sesto, sexto
sesto, sextus
sesto, секст
seth, сет
severo, severus
severo, север
severus, север
sexto, sextus
sexto, секст
sextus, секст
shah, xah
shah, шах
shannon, шеннон
sharma, шарма
sharon, шэрон
sharp, шарп
sharpe, шарп
shaun, шон
shaw, шау
shaw, шоу
shawn, шон
sheldon, шелдон
shelton, шелтон
sheppard, шеппард
sherman, шерман
shlomo, шломо
shogo, shougo
shogo, сего
shoko, секо
short, шорт
shota, shouta
shota, сета
shotaro, сетаро
shougo, сего
shouta, сета
shun, сюн
shunsuke, сюнсукэ
sjevtsjenko, шевченко
slavko, славко
slobodan, слободан
sofja, софья
soja, zoya
soja, зоя
sojuza, союза
sokolov, sokolow
sokolov, соколов
sokolow, соколов
sokołow, соколов
solovjov, solovyov
solovjov, соловьев
solovyov, соловьев
sonderburg, σονντερμπουρκ
sonja, соня
stan, stanley
stavros, σταυρος
stefan, stepan
stefan, stephan
stefan, stephen
stefan, στεφανος
stefan, степан
stefan, стефан
stefano, stephen
stefano, στεφανος
stefano, стефан
stepan, stephen
stepan, стефан
stephan, stephen
stephan, стефан
stephen, steve
stephen, στεφανος
stephen, стефан
steve, steven
stojan, стоян
stojan, стојан
stolberg, щолберг
stroganow, строганов
suede, sved
suede, sweden
suede, zweden
sugawara, сугавара
sultan, szultana
sutherland, сазерленд
svaty, szent
sved, zweden
svetlana, swetlana
svetlana, светлана
sweden, zweden
swetlana, светлана
szabo, сабо
sønderborg, σονντερμπουρκ
tadeusz, тадеуш
tanja, таня
tat, татьяна
tatjana, tatyana
tatjana, татьяна
tatjana, тетяна
tatjana, տատյանա
tatyana, татьяна
tatyana, тетяна
ted, theodore
teodor, teodoro
teodor, theodor
teodor, theodore
teodor, θεοδωρος
teodor, теодор
teodor, феодор
teodoro, theodor
teodoro, theodore
teodoro, θεοδωρος
teodoro, теодор
teresa, therese
teresa, тереза
terje, терье
tetjana, tetyana
tetjana, татьяна
tetjana, тетяна
tetyana, татьяна
tetyana, тетяна
tezuka, тэдзука
theo, тео
theodor, theodore
theodor, теодор
theodora, θεοδωρα
theodora, теодора
theodore, θεοδωρος
theodore, теодор
theodoros, θεοδωρος
theresa, тереза
therese, тереза
thomas, tom
thomas, tomas
thomas, tomasz
thomas, tommy
thomas, том
thomas, тома
thomas, томас
thornton, торнтон
thorsten, торстен
tkachenko, ткаченко
tokugawa, токугава
tom, том
tom, томас
tomas, tomasz
tomasz, томаш
tomokazu, томокадзу
toth, тот
tsjernov, чернов
ugo, гуго
uwe, уве
valdemar, waldemar
vasyl, wasyl
vera, wera
vera, вера
vjaceslav, vyacheslav
vjaceslav, вячеслав
vogel, фогель
volodymyr, wolodymyr
volodymyr, wołodymyr
vorobjov, воробьев
vuong, wang
vyacheslav, вячеслав
waclaw, wacław
wacław, вацлав
wada, вада
wagner, вагнер
waldemar, вальдемар
walker, вокер
walker, уокер
walker, уолкер
wall, уолл
wallace, уоллес
walsh, уолш
walt, walter
walter, walther
walter, βαλτερ
walter, валтер
walter, вальтер
walter, волтер
walter, уолтер
walters, уолтерс
walther, вальтер
walton, уолтон
wanda, ванда
wang, wong
wang, ванг
wanyan, ваньянь
ward, уорд
warner, уорнер
warren, уоррен
watabe, ватабэ
watanabe, ватанабэ
wataru, ватару
watson, уотсон
watts, уоттс
webb, уэбб
weber, вебер
webster, уэбстер
wells, уэллс
wera, вера
werner, вернер
west, уэст
weston, уэстон
wolf, вольф
wolf, вульф
wolfenbuttel, волфенбютел
wolff, вольф
wolfgang, волфганг
wolfgang, вольфганг
wong, вонг
wood, вуд
woods, вудс
woodward, вудворд
